Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,EZVote Code,Election Code,Boss Code
323,Great Hills Baptist Church,"305, 345",10500 Jollyville Road ,Austin,11/6/2012,7:00,19:00,78759,30.39841,-97.750189,NW,ED,R,709,G12,147
324,Bee Cave Baptist Church,368,13222 Hwy 71 West ,Bee Cave,11/6/2012,7:00,19:00,78738,30.308967,-97.946087,W,ED,R,256,G12,148
325,Combined @ 329 Austin City Hall,,301 West 2nd Street (Media Room) ,Austin,11/6/2012,7:00,19:00,78701,30.264553,-97.747271,C,ED,R,142,G12,152
326,Laurel Mountain Elementary School,,10111 DK Ranch Road ,Austin,11/6/2012,7:00,19:00,78759,30.414945,-97.781754,NW,ED,R,1213,G12,149
327,Fire Station #33,,9409 Bluegrass Drive ,Austin,11/6/2012,7:00,19:00,78759,30.398919,-97.767404,NW,ED,R,609,G12,150
328,Renaissance Retirement Center,,11279 Taylor Draper Lane ,Austin,11/6/2012,7:00,19:00,78759,30.410717,-97.752045,NW,ED,R,1832,G12,151
329,Austin City Hall,325,301 West 2nd Street (Media Room) ,Austin,11/6/2012,7:00,19:00,78701,30.264553,-97.747271,C,ED,R,142,G12,152
330,Laura's Library,357,9411 Bee Cave Road ,Austin,11/6/2012,7:00,19:00,78733,30.315099,-97.87179,W,ED,R,1232,G12,154
331,Kathy Caraway Elementary School,,11104 Oakview Drive (Enter off of Carlwood) ,Austin,11/6/2012,7:00,19:00,78759,30.41959,-97.768024,NW,ED,R,1442,G12,155
332,Zilker Elementary School,"340, 341",1900 Bluebonnet Lane ,Austin,11/6/2012,7:00,19:00,78704,30.252849,-97.774673,SC,ED,R,2600,G12,157
333,Canyon Creek Elementary School,,10210 Ember Glen Drive ,Austin,11/6/2012,7:00,19:00,78726,30.436492,-97.824733,NW,ED,R,313,G12,158
334,Pickfair Community Center,,10904 Pickfair Drive ,Austin,11/6/2012,7:00,19:00,78750,30.439332,-97.811033,NW,ED,R,1626,G12,159
335,Canyon Vista Middle School,,8455 Spicewood Springs Road ,Austin,11/6/2012,7:00,19:00,78759,30.427546,-97.784318,NW,ED,R,314,G12,160
336,Hallmark Baptist Church,,9023 Old Lampasas Trail ,Austin,11/6/2012,7:00,19:00,78750,30.42039,-97.79884,C,ED,R,812,G12,161
337,Lakewood Homeowners Association,,7317 Lakewood Drive ,Austin,11/6/2012,7:00,19:00,78750,30.37535,-97.78888,NW,ED,R,1214,G12,162
338,Travis County WCID #18,,1502 San Juan Drive ,Austin,11/6/2012,7:00,19:00,78733,30.339269,-97.866114,W,ED,R,2025,G12,163
339,Western Hills Church of Christ,,6211 Parkwood Drive ,Austin,11/6/2012,7:00,19:00,78735,30.237204,-97.855053,SW,ED,R,2335,G12,164
340,Combined @ 332 Zilker Elementary School,,1900 Bluebonnet Lane ,Austin,11/6/2012,7:00,19:00,78704,30.252849,-97.774673,SC,ED,R,2600,G12,157
341,Combined @ 332 Zilker Elementary School,,1900 Bluebonnet Lane ,Austin,11/6/2012,7:00,19:00,78704,30.252849,-97.774673,SC,ED,R,2600,G12,157
342,Barton Hills Elementary School,,2108 Barton Hills Drive ,Austin,11/6/2012,7:00,19:00,78704,30.254072,-97.782955,SC,ED,R,226,G12,165
343,Church at Canyon Creek,,9001 FM 620 North ,Austin,11/6/2012,7:00,19:00,78726,30.429286,-97.840891,NW,ED,R,351,G12,166
344,Cunningham Elementary School,,2200 Berkeley Avenue ,Austin,11/6/2012,7:00,19:00,78745,30.210672,-97.805808,S,ED,R,326,G12,167
345,Combined @ 323 Great Hills Baptist Church,,10500 Jollyville Road ,Austin,11/6/2012,7:00,19:00,78759,30.39841,-97.750189,NW,ED,R,709,G12,147
346,Serene Hills Elementary School,,3301 Serene Hills Drive ,Austin,11/6/2012,7:00,19:00,78738,30.34827,-97.99678,NW,ED,R,1951,G12,168
347,Hill Country Middle School,,1300 Walsh Tarlton Lane ,Austin,11/6/2012,7:00,19:00,78746,30.2708,-97.8037,W,ED,R,829,G12,169
349,ACC Pinnacle Campus,,7748 Highway 290 West ,Austin,11/6/2012,7:00,19:00,78736,30.23002,-97.882025,SW,ED,R,131,G12,170
350,Cowan Elementary School,,2817 Kentish Drive,Austin,11/6/2012,7:00,19:00,78748,30.188686,-97.833724,S,ED,R,317,G12,172
351,Small Middle School,,4801 Monterey Oaks Boulevard ,Austin,11/6/2012,7:00,19:00,78749,30.234071,-97.841438,SW,ED,R,1952,G12,174
352,Combined @ 358 Covington Middle School,,3700 Convict Hill Road ,Austin,11/6/2012,7:00,19:00,78749,30.211451,-97.834218,SW,ED,R,318,G12,176
354,Travis Country Office (H.O.A.),,4504 Travis Country Circle ,Austin,11/6/2012,7:00,19:00,78735,30.245949,-97.827448,SW,ED,R,2026,G12,175
356,Combined @ 307 Rollingwood Municipal Building,,403 Nixon Drive ,Rollingwood,11/6/2012,7:00,19:00,78746,30.275811,-97.788416,W,ED,R,1819,G12,132
357,Combined @ 330 Laura's Library,,9411 Bee Cave Road ,Austin,11/6/2012,7:00,19:00,78733,30.315099,-97.87179,W,ED,R,1232,G12,154
358,Covington Middle School,352,3700 Convict Hill Road ,Austin,11/6/2012,7:00,19:00,78749,30.211451,-97.834218,SW,ED,R,318,G12,176
359,LTISD Educational Development Ctr,,607 RR 620 North (Enter off of Kollmeyer Dr) ,Austin,11/6/2012,7:00,19:00,78734,30.370589,-97.946591,W,ED,R,1231,G12,177
360,Bowie High School,,4103 West Slaughter Lane ,Austin,11/6/2012,7:00,19:00,78749,30.18757,-97.8585,S,ED,R,229,G12,178
361,Oak Hill Fire Dept. Station #301,,9211 Circle Drive ,Austin,11/6/2012,7:00,19:00,78736,30.239456,-97.919694,SW,ED,R,1590,G12,179
362,Will Hampton Branch Public Library,,5125 Convict Hill Road ,Austin,11/6/2012,7:00,19:00,78749,30.21765,-97.85509,SW,ED,R,2322,G12,180
363,Shepherd of the Hills Presbyterian Church,,5226 West William Cannon Drive ,Austin,11/6/2012,7:00,19:00,78749,30.225153,-97.851405,SW,ED,R,1924,G12,181
364,Randalls Flagship at West Lake Hills,,3300 Bee Caves Road ,Austin,11/6/2012,7:00,19:00,78746,30.275376,-97.798812,W,ED,R,1844,G12,182
365,West Rural Community Center,,8656 Highway 71 West ,Austin,11/6/2012,7:00,19:00,78735,30.249911,-97.894535,W,ED,R,2330,G12,183
366,Mills Elementary School,,6201 Davis Lane ,Austin,11/6/2012,7:00,19:00,78749,30.21111,-97.87819,SW,ED,R,1327,G12,184
367,Clayton Elementary School,,7525 LaCrosse Avenue ,Austin,11/6/2012,7:00,19:00,78739,30.194658,-97.90668,SW,ED,R,348,G12,185
368,Combined @ 324 Bee Cave Baptist Church,,13222 Hwy 71 West ,Bee Cave,11/6/2012,7:00,19:00,78738,30.308967,-97.946087,W,ED,R,256,G12,148
369,Christ Episcopal Church,,3520 West Whitestone Boulevard ,Cedar Park,11/6/2012,7:00,19:00,78613,30.51066,-97.881317,NW,ED,R,350,G12,186
370,Round Mountain Community Center,,14340 Round Mountain Road ,Leander,11/6/2012,7:00,19:00,78641,30.571213,-97.948576,NW,ED,R,1836,G12,187
371,Lago Vista High School,,8039 Bar-K Ranch Road ,Lago Vista,11/6/2012,7:00,19:00,78645,30.480356,-97.97788,NW,ED,R,1217,G12,188
