1	1	101	A 	3608
2	2	101	B 	323
536	3	101	Z	0
3	4	102	A 	836
537	5	102	Z	0
4	6	103	A 	1586
538	7	103	Z	0
5	8	104	A 	1130
6	9	104	B 	0
539	10	104	Z	0
7	11	105	A 	45
8	12	105	B 	5202
9	13	105	C 	1
10	14	105	D 	0
11	15	105	E 	0
540	16	105	Z	0
12	17	106	A 	150
13	18	106	B 	3087
14	19	106	C 	0
541	20	106	Z	0
15	21	107	A 	128
16	22	107	B 	193
542	23	107	Z	0
17	24	108	A 	1353
543	25	108	Z	0
18	26	109	A 	1540
19	27	109	B 	861
544	28	109	Z	0
20	29	110	A 	0
21	30	110	B 	4096
545	31	110	Z	0
22	32	111	A 	3285
23	33	111	B 	181
24	34	111	C 	710
25	35	111	D 	2
26	36	111	E 	36
546	37	111	Z	0
27	38	112	A 	1530
547	39	112	Z	0
28	40	113	A 	5338
29	41	113	B 	0
30	42	113	C 	552
548	43	113	Z	0
31	44	114	A 	267
549	45	114	Z	0
32	46	115	A 	0
550	47	115	Z	0
33	48	116	A 	0
34	49	116	B 	1
551	50	116	Z	0
35	51	117	A 	398
36	52	117	B 	141
37	53	117	C 	968
38	54	117	D 	1438
552	55	117	Z	0
39	56	118	A 	763
553	57	118	Z	0
40	58	119	A 	0
554	59	119	Z	0
41	60	120	A 	97
42	61	120	B 	2
43	62	120	C 	0
555	63	120	Z	0
44	64	121	A 	0
45	65	121	B 	27
46	66	121	C 	890
556	67	121	Z	0
47	68	122	A 	2759
557	69	122	Z	0
48	70	123	A 	1665
49	71	123	B 	1182
558	72	123	Z	0
50	73	124	A 	4917
559	74	124	Z	0
51	75	125	A 	2
52	76	125	B 	0
560	77	125	Z	0
53	78	126	A 	4633
561	79	126	Z	0
54	80	127	A 	0
562	81	127	Z	0
55	82	128	A 	0
563	83	128	Z	0
56	84	129	A 	67
57	85	129	B 	2635
564	86	129	Z	0
58	87	130	A 	1861
565	88	130	Z	0
59	89	131	A 	0
60	90	131	B 	0
566	91	131	Z	0
61	92	132	A 	2612
567	93	132	Z	0
62	94	133	A 	2312
568	95	133	Z	0
63	96	134	A 	0
569	97	134	Z	0
64	98	135	A 	1187
65	99	135	B 	2707
570	100	135	Z	0
66	101	136	A 	35
67	102	136	B 	2913
571	103	136	Z	0
68	104	137	A 	2681
69	105	137	B 	296
70	106	137	C 	2930
572	107	137	Z	0
71	108	138	A 	0
573	109	138	Z	0
72	110	139	A 	403
73	111	139	B 	1653
74	112	139	C 	1507
574	113	139	Z	0
75	114	140	A 	1868
575	115	140	Z	0
76	116	141	A 	5
77	117	141	B 	447
78	118	141	C 	0
576	119	141	Z	0
79	120	142	A 	396
80	121	142	B 	669
577	122	142	Z	0
81	123	145	A 	2927
578	124	145	Z	0
82	125	146	A 	25
83	126	146	B 	2754
579	127	146	Z	0
84	128	148	A 	422
85	129	148	B 	0
86	130	148	C 	3494
87	131	148	D 	1
88	132	148	E 	0
580	133	148	Z	0
89	134	149	A 	1509
581	135	149	Z	0
90	136	150	A 	2224
582	137	150	Z	0
91	138	151	A 	2365
583	139	151	Z	0
92	140	152	A 	3487
584	141	152	Z	0
93	142	153	A 	352
94	143	153	B 	548
95	144	153	C 	2939
96	145	153	D 	11
97	146	153	E 	6
585	147	153	Z	0
98	148	154	A 	95
99	149	154	B 	1866
586	150	154	Z	0
100	151	156	A 	5
101	152	156	B 	3136
102	153	156	C 	2378
587	154	156	Z	0
103	155	160	A 	1242
104	156	160	B 	887
105	157	160	C 	138
106	158	160	D 	0
588	159	160	Z	0
107	160	161	A 	879
108	161	161	B 	924
589	162	161	Z	0
109	163	163	A 	270
110	164	163	B 	2
590	165	163	Z	0
111	166	164	A 	2076
591	167	164	Z	0
112	168	200	A 	9
113	169	200	B 	674
114	170	200	C 	3748
592	171	200	Z	0
115	172	202	A 	2660
116	173	202	B 	733
593	174	202	Z	0
117	175	203	A 	519
118	176	203	B 	98
119	177	203	C 	103
594	178	203	Z	0
120	179	205	A 	408
121	180	205	B 	2443
595	181	205	Z	0
122	182	206	A 	1151
596	183	206	Z	0
123	184	207	A 	131
124	185	207	B 	767
125	186	207	C 	930
126	187	207	D 	3009
127	188	207	E 	0
128	189	207	F 	6
597	190	207	Z	0
129	191	208	A 	6521
598	192	208	Z	0
130	193	209	A 	1208
599	194	209	Z	0
131	195	210	A 	1757
600	196	210	Z	0
132	197	211	A 	289
133	198	211	B 	1498
601	199	211	Z	0
134	200	212	A 	2132
