1	1	101	A 	685
3	3	101	C 	434
5	5	103	A 	1592
7	7	105	A 	5676
9	9	106	A 	3356
11	11	108	A 	1397
13	13	110	A 	4491
15	15	111	B 	4180
17	17	113	A 	5660
19	19	114	A 	268
21	21	116	A 	0
23	23	117	A 	494
25	25	118	A 	762
27	27	120	A 	100
29	29	120	C 	1
31	31	121	B 	918
33	33	123	A 	3316
35	35	125	A 	1
37	37	126	A 	4908
39	39	128	A 	0
41	41	130	A 	1898
43	43	131	B 	0
45	45	133	A 	2381
47	47	135	A 	4381
49	49	137	A 	6481
51	51	139	A 	3383
53	53	141	A 	5
55	55	142	A 	1083
57	57	146	A 	2824
59	59	149	A 	1513
61	61	151	A 	2415
63	63	153	A 	19
65	65	153	C 	3194
67	67	154	B 	2073
69	69	160	A 	2211
71	71	161	A 	1713
73	73	163	A 	272
75	75	200	A 	4532
77	77	203	A 	661
79	79	205	A 	2698
81	81	207	A 	865
83	83	208	A 	5872
85	85	210	A 	1880
87	87	212	A 	2712
89	89	213	A 	1
91	91	215	A 	2072
93	93	216	A 	2396
95	95	217	A 	2306
97	97	219	A 	3074
99	99	220	A 	1720
101	101	221	B 	661
103	103	223	A 	732
105	105	225	A 	3321
107	107	226	A 	1604
109	109	227	B 	0
111	111	228	A 	1716
113	113	231	A 	2729
115	115	232	B 	13
117	117	233	B 	1719
119	119	234	B 	199
121	121	236	A 	3017
123	123	238	A 	2816
125	125	240	A 	1043
127	127	242	A 	4848
129	129	244	A 	3493
131	131	245	A 	0
133	133	246	A 	1737
135	135	248	A 	2428
137	137	250	A 	5035
139	139	252	A 	2649
141	141	254	A 	3592
143	143	258	A 	2640
145	145	260	A 	1357
147	147	263	A 	2875
149	149	267	A 	1558
151	151	273	A 	2797
153	153	275	A 	3429
155	155	301	A 	236
157	157	301	C 	477
159	159	302	B 	559
161	161	303	B 	0
163	163	305	A 	11
165	165	306	B 	4
167	167	307	B 	364
169	169	308	B 	550
171	171	309	B 	2052
173	173	310	B 	2130
175	175	312	A 	2126
177	177	313	A 	371
179	179	314	B 	2239
181	181	315	B 	2191
